date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
06/01/26,07:48:24,Tuesday,7,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,08:03:36,Tuesday,8,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,08:18:47,Tuesday,8,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,08:33:58,Tuesday,8,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,08:49:10,Tuesday,8,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,09:04:21,Tuesday,9,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,09:19:33,Tuesday,9,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,09:34:44,Tuesday,9,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,09:49:55,Tuesday,9,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,10:05:06,Tuesday,10,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,10:20:17,Tuesday,10,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,10:35:29,Tuesday,10,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,10:50:42,Tuesday,10,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,11:05:53,Tuesday,11,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,11:21:05,Tuesday,11,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,11:36:17,Tuesday,11,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,11:51:28,Tuesday,11,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,12:06:40,Tuesday,12,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,12:21:51,Tuesday,12,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,12:37:02,Tuesday,12,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,12:52:14,Tuesday,12,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,13:07:25,Tuesday,13,0,0,1,3,1,1,1,1,1,1,1,1
